cell,owner
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,4
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,37
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,95
82,82
83,83
84,84
85,85
86,86
87,87
88,87
89,89
90,90
91,91
92,92
93,93
94,108
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,87
103,103
104,104
105,121
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,129
129,129
130,115
131,166
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,156
140,140
141,141
142,142
143,127
144,178
145,161
146,163
147,166
148,166
149,149
150,150
151,151
152,152
153,153
154,137
155,155
156,156
157,157
158,158
159,159
160,178
161,161
162,162
163,162
164,163
165,166
166,265
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,281
178,281
179,179
180,180
181,181
182,182
183,221
184,265
185,265
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,231
194,178
195,281
196,281
197,197
198,235
199,199
200,220
201,221
202,265
203,265
204,265
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,231
213,215
214,281
215,281
216,216
217,235
218,235
219,219
220,219
221,265
222,265
223,265
224,224
225,225
226,226
227,227
228,228
229,229
230,231
231,281
232,281
233,281
234,281
235,235
236,260
237,260
238,219
239,265
240,265
241,265
242,265
243,244
244,244
245,268
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,254
255,281
256,281
257,281
258,281
259,260
260,260
261,260
262,262
263,265
264,265
265,265
266,244
267,291
268,268
269,269
270,270
271,351
272,272
273,273
274,274
275,275
276,276
277,277
278,278
279,281
280,281
281,281
282,281
283,281
284,286
285,286
286,286
287,286
288,286
289,265
290,265
291,265
292,291
293,351
294,351
295,351
296,353
297,353
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,305
306,281
307,281
308,281
309,281
310,281
311,281
312,286
313,286
314,286
315,286
316,265
317,265
318,265
319,265
320,351
321,351
322,351
323,351
324,351
325,351
326,326
327,327
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,281
337,558
338,281
339,370
340,558
341,558
342,558
343,286
344,558
345,265
346,265
347,265
348,265
349,348
350,351
351,413
352,351
353,384
354,354
355,386
356,388
357,388
358,388
359,359
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,368
369,558
370,558
371,558
372,558
373,558
374,558
375,558
376,558
377,265
378,411
379,411
380,411
381,413
382,413
383,351
384,384
385,481
386,481
387,452
388,452
389,388
390,388
391,359
392,392
393,393
394,394
395,395
396,396
397,397
398,398
399,370
400,558
401,558
402,558
403,558
404,558
405,558
406,558
407,558
408,376
409,411
410,411
411,411
412,413
413,413
414,351
415,481
416,481
417,481
418,481
419,452
420,452
421,452
422,452
423,423
424,424
425,456
426,426
427,427
428,428
429,429
430,430
431,431
432,432
433,433
434,558
435,558
436,558
437,558
438,558
439,558
440,470
441,441
442,473
443,411
444,411
445,413
446,413
447,448
448,481
449,481
450,481
451,452
452,452
453,452
454,454
455,455
456,456
457,457
458,458
459,459
460,460
461,461
462,462
463,463
464,464
465,558
466,558
467,558
468,558
469,558
470,470
471,470
472,470
473,411
474,411
475,413
476,413
477,591
478,481
479,481
480,481
481,452
482,452
483,452
484,452
485,485
486,519
487,519
488,488
489,489
490,490
491,491
492,492
493,493
494,494
495,495
496,496
497,497
498,558
499,558
500,558
501,558
502,558
503,534
504,470
505,470
506,473
507,473
508,411
509,509
510,413
511,591
512,481
513,481
514,452
515,515
516,485
517,517
518,518
519,519
520,488
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,528
529,529
530,558
531,558
532,558
533,558
534,558
535,470
536,536
537,587
538,587
539,565
540,540
541,510
542,591
543,543
544,544
545,545
546,546
547,547
548,548
549,549
550,550
551,551
552,552
553,553
554,554
555,555
556,556
557,558
558,558
559,558
560,558
561,558
562,534
563,587
564,587
