cell,owner
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,34
10,10
11,11
12,13
13,13
14,14
15,15
16,28
17,17
18,18
19,20
20,20
21,21
22,34
23,23
24,24
25,13
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,86
73,73
74,74
75,75
76,76
77,77
78,92
79,79
80,80
81,95
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,87
102,102
103,103
104,104
105,105
106,106
107,108
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,108
124,124
125,125
126,126
127,178
128,128
129,147
130,130
131,115
132,132
133,133
134,134
135,135
136,136
137,136
138,138
139,108
140,140
141,141
142,142
143,143
144,178
145,147
146,147
147,147
148,147
149,149
150,150
151,135
152,152
153,153
154,153
155,108
156,156
157,157
158,158
159,159
160,178
161,161
162,148
163,148
164,148
165,264
166,264
167,167
168,168
169,169
170,170
171,171
172,191
173,173
174,173
175,175
176,214
177,178
178,178
179,179
180,200
181,200
182,148
183,220
184,264
185,264
186,186
187,187
188,188
189,189
190,190
191,210
192,193
193,214
194,214
195,178
196,216
197,197
198,198
199,200
200,241
201,220
202,220
203,203
204,203
205,205
206,206
207,207
208,208
209,209
210,210
211,229
212,214
213,214
214,214
215,216
216,216
217,217
218,218
219,241
220,241
221,241
222,241
223,203
224,224
225,225
226,226
227,227
228,228
229,229
230,230
231,193
232,214
233,214
234,214
235,214
236,218
237,260
238,241
239,286
240,241
241,264
242,264
243,243
244,243
245,380
246,245
247,247
248,248
249,249
250,250
251,251
252,252
253,278
254,307
255,214
256,214
257,281
258,281
259,281
260,281
261,260
262,241
263,241
264,241
265,264
266,264
267,243
268,319
269,245
270,294
271,294
272,272
273,273
274,274
275,275
276,276
277,277
278,278
279,281
280,281
281,281
282,281
283,284
284,286
285,286
286,286
287,286
288,286
289,286
290,319
291,319
292,380
293,380
294,294
295,294
296,294
297,380
298,326
299,299
300,300
301,301
302,302
303,303
304,304
305,277
306,306
307,281
308,281
309,281
310,368
311,312
312,260
313,286
314,345
315,286
316,286
317,345
318,319
319,319
320,294
321,380
322,294
323,294
324,380
325,326
326,327
327,357
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,281
336,281
337,368
338,624
339,624
340,405
341,345
342,286
343,345
344,345
345,345
346,319
347,383
348,383
349,380
350,380
351,294
352,380
353,380
354,514
355,357
356,357
357,388
358,514
359,360
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,281
369,624
370,624
371,624
372,624
373,345
374,286
375,401
376,345
377,319
378,319
379,383
380,383
381,380
382,380
383,380
384,380
385,380
386,380
387,357
388,357
389,514
390,514
391,360
392,392
393,393
394,394
395,395
396,396
397,396
398,398
399,399
400,368
401,624
402,624
403,624
404,624
405,345
406,401
407,401
408,345
409,442
410,319
411,319
412,512
413,568
414,380
415,512
416,512
417,514
418,514
419,357
420,514
421,514
422,514
423,423
424,424
425,425
426,426
427,427
428,428
429,429
430,430
431,431
432,399
433,401
434,624
435,624
436,624
437,624
438,624
439,401
440,401
441,442
442,442
443,319
444,474
445,568
446,380
447,380
448,512
449,380
450,514
451,514
452,514
453,514
454,454
455,455
456,456
457,457
458,458
459,459
460,460
461,461
462,462
463,463
464,464
465,624
466,624
467,624
468,624
469,469
470,469
471,504
472,504
473,442
474,474
475,442
476,474
477,380
478,514
479,514
480,514
481,514
482,514
483,514
484,515
485,517
486,517
487,487
488,488
489,456
490,490
491,491
492,492
493,493
494,494
495,462
496,496
497,497
498,435
499,624
500,624
501,624
502,469
503,624
504,504
505,504
506,442
507,442
508,442
509,474
510,568
511,568
512,568
513,514
514,514
515,515
516,485
517,517
518,487
519,487
520,520
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,528
529,529
530,624
531,624
532,624
533,624
534,624
535,624
536,586
537,538
538,564
539,539
540,567
541,567
542,568
543,544
544,518
545,545
546,546
547,547
548,548
549,549
550,550
551,551
552,552
553,553
554,554
555,555
556,556
557,624
558,624
559,624
560,624
561,561
562,624
563,624
564,586
