cell,owner
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,37
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,37
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,89
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,121
106,91
107,107
108,107
109,109
110,110
111,111
112,112
113,113
114,114
115,131
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,131
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,154
139,139
140,140
141,141
142,142
143,143
144,128
145,131
146,131
147,131
148,165
149,149
150,150
151,135
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,177
161,161
162,131
163,131
164,165
165,165
166,185
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,177
179,179
180,180
181,181
182,182
183,185
184,185
185,240
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,211
194,176
195,501
196,177
197,177
198,199
199,199
200,201
201,201
202,185
203,240
204,240
205,205
206,206
207,207
208,208
209,209
210,229
211,211
212,211
213,501
214,501
215,501
216,216
217,235
218,199
219,240
220,240
221,240
222,240
223,240
224,224
225,225
226,226
227,227
228,210
229,229
230,254
231,501
232,501
233,501
234,501
235,235
236,240
237,240
238,240
239,261
240,240
241,240
242,240
243,240
244,240
245,240
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,501
255,501
256,501
257,234
258,258
259,259
260,286
261,286
262,262
263,290
264,290
265,240
266,240
267,240
268,240
269,321
270,269
271,294
272,272
273,273
274,274
275,275
276,276
277,277
278,277
279,501
280,501
281,501
282,501
283,501
284,531
285,286
286,286
287,286
288,240
289,240
290,321
291,321
292,321
293,321
294,321
295,294
296,294
297,324
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,305
306,279
307,501
308,501
309,501
310,501
311,531
312,286
313,286
314,290
315,290
316,290
317,290
318,321
319,321
320,321
321,321
322,383
323,383
324,450
325,324
326,327
327,389
328,328
329,328
330,330
331,331
332,332
333,333
334,334
335,335
336,501
337,501
338,501
339,501
340,501
341,501
342,501
343,501
344,290
345,290
346,290
347,321
348,321
349,321
350,321
351,476
352,383
353,450
354,354
355,389
356,389
357,389
358,389
359,359
360,328
361,361
362,362
363,363
364,364
365,365
366,366
367,336
368,501
369,501
370,501
371,501
372,501
373,501
374,501
375,501
376,290
377,290
378,290
379,321
380,321
381,321
382,321
383,450
384,450
385,383
386,450
387,450
388,389
389,389
390,389
391,391
392,392
393,393
394,394
395,395
396,396
397,397
398,398
399,399
400,501
401,501
402,501
403,501
404,501
405,501
406,501
407,501
408,501
409,290
410,476
411,476
412,476
413,476
414,476
415,476
416,450
417,450
418,450
419,450
420,450
421,389
422,389
423,423
424,424
425,425
426,426
427,427
428,428
429,429
430,430
431,431
432,432
433,501
434,501
435,501
436,501
437,501
438,501
439,501
440,503
441,473
442,290
443,476
444,476
445,476
446,476
447,476
448,476
449,450
450,450
451,450
452,450
453,450
454,454
455,455
456,456
457,457
458,458
459,459
460,460
461,461
462,462
463,464
464,464
465,501
466,501
467,501
468,501
469,501
470,503
471,539
472,473
473,476
474,476
475,476
476,476
477,476
478,476
479,476
480,450
481,450
482,450
483,389
484,389
485,486
486,486
487,487
488,488
489,489
490,490
491,491
492,492
493,493
494,494
495,495
496,496
497,497
498,530
499,501
500,501
501,501
502,501
503,501
504,503
505,539
506,539
507,476
508,476
509,476
510,476
511,476
512,476
513,450
514,450
515,452
516,516
517,486
518,486
519,519
520,520
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,528
529,529
530,501
531,501
532,501
533,501
534,501
535,501
536,536
537,588
538,539
539,566
540,540
541,476
542,476
543,486
544,544
545,545
546,546
547,547
548,548
549,549
550,550
551,551
552,552
553,553
554,554
555,555
556,556
557,501
558,501
559,501
560,501
561,501
562,585
563,588
564,588
