cell,owner
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,13
14,14
15,16
16,16
17,17
18,18
19,19
20,20
21,21
22,9
23,23
24,24
25,13
26,26
27,27
28,16
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,30
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,36
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,72
74,74
75,75
76,76
77,77
78,78
79,79
80,94
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,94
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,123
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,139
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,115
131,147
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,128
145,128
146,146
147,147
148,148
149,149
150,150
151,135
152,135
153,153
154,153
155,139
156,139
157,157
158,158
159,159
160,128
161,178
162,162
163,147
164,239
165,239
166,239
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,214
176,175
177,214
178,214
179,178
180,198
181,181
182,182
183,239
184,239
185,239
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,232
194,214
195,214
196,214
197,214
198,198
199,238
200,200
201,239
202,239
203,239
204,239
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,281
214,281
215,281
216,215
217,236
218,238
219,238
220,239
221,264
222,239
223,239
224,224
225,225
226,226
227,227
228,228
229,229
230,230
231,281
232,281
233,281
234,280
235,258
236,261
237,261
238,261
239,264
240,239
241,239
242,239
243,267
244,267
245,268
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,254
255,281
256,281
257,281
258,258
259,261
260,261
261,261
262,287
263,239
264,239
265,239
266,316
267,267
268,268
269,268
270,268
271,296
272,272
273,273
274,274
275,275
276,276
277,277
278,253
279,281
280,281
281,281
282,465
283,283
284,313
285,313
286,313
287,264
288,239
289,264
290,264
291,267
292,268
293,291
294,268
295,382
296,418
297,297
298,355
299,299
300,300
301,301
302,302
303,303
304,304
305,305
306,305
307,281
308,281
309,281
310,465
311,311
312,313
313,313
314,313
315,287
316,264
317,264
318,267
319,268
320,268
321,382
322,382
323,382
324,418
325,325
326,355
327,355
328,328
329,329
330,330
331,331
332,332
333,334
334,334
335,335
336,281
337,281
338,465
339,465
340,340
341,313
342,313
343,313
344,343
345,343
346,316
347,347
348,382
349,382
350,382
351,382
352,382
353,418
354,418
355,355
356,418
357,418
358,357
359,359
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,368
369,465
370,465
371,465
372,465
373,660
374,343
375,343
376,343
377,316
378,347
379,382
380,382
381,382
382,382
383,382
384,418
385,418
386,418
387,418
388,418
389,357
390,418
391,391
392,392
393,393
394,394
395,395
396,396
397,397
398,398
399,399
400,400
401,660
402,465
403,465
404,465
405,660
406,660
407,343
408,440
409,347
410,347
411,382
412,382
413,382
414,382
415,382
416,418
417,418
418,418
419,418
420,418
421,418
422,418
423,423
424,424
425,425
426,426
427,427
428,428
429,429
430,430
431,431
432,432
433,464
434,660
435,660
436,660
437,660
438,660
439,660
440,440
441,506
442,506
443,506
444,382
445,382
446,382
447,382
448,448
449,449
450,418
451,418
452,418
453,418
454,454
455,455
456,456
457,457
458,458
459,459
460,460
461,461
462,462
463,464
464,464
465,660
466,660
467,465
468,660
469,438
470,504
471,506
472,506
473,506
474,382
475,382
476,382
477,542
478,449
479,418
480,418
481,418
482,418
483,418
484,418
485,486
486,487
487,487
488,488
489,489
490,490
491,491
492,492
493,493
494,494
495,495
496,496
497,497
498,498
499,660
500,660
501,660
502,660
503,584
504,504
505,506
506,506
507,382
508,382
509,382
510,542
511,418
512,418
513,418
514,418
515,515
516,516
517,517
518,487
519,519
520,520
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,528
529,529
530,465
531,660
532,660
533,660
534,660
535,535
536,504
537,563
538,588
539,588
540,382
541,542
542,542
543,543
544,544
545,545
546,546
547,547
548,548
549,549
550,550
551,551
552,552
553,553
554,554
555,555
556,556
557,660
558,660
559,660
560,660
561,660
562,563
563,563
564,588
