cell_number,neighbours,nation,productivity,national_productivity,border_cell,India,SEA,cell_into_conflict,nation_in_conflict,prod_faced,already_conflict,river,ruggedness,uniform_productivity,uniform_national_productivity,religion,language_group,temp_min,temp_max,religion_1450,ruggedness_vrm,hemid_temp_min,hemid_temp_max,wc_temp_max,wc_temp_min,productivity_gaezv4,national_productivity_gaezv4
0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"2,13,14",1,0.83719986,0.83719986,1,0,0,0,,,0,0,7.174377364,1,1,3,7,78.85228026,238.9830648,2,0.20481415,87.7573776,251.5171026,237.8118041,85.95446017,488.296,488.296
2,"1,3,14,15",2,1.381735895,1.381735895,1,0,0,0,,,0,0,6.856990286,1,1,3,7,60.65878612,224.2002011,2,0.17853876,67.73021462,235.3122066,225.9852247,67.60781355,243.976,243.976
3,"2,4,15,16",3,1.184410383,1.184410383,1,0,0,0,,,0,0,5.644143666,1,1,3,7,84.77984559,246.1109997,2,0.176599487,91.39637827,256.2910798,256.535607,108.8524212,205.424,205.424
4,"3,5,16,17",4,0.205892964,0.205892964,1,0,0,0,,,0,0,6.397423736,1,1,3,7,111.8405433,269.1765596,2,0.215389203,118.9290744,278.3906774,285.5031924,133.5749968,60.28,60.28
5,"4,6,17,18",5,0.116970777,0.116970777,1,0,0,0,,,0,0,5.829131942,1,1,3,7,125.9416497,280.487927,2,0.170977987,133.2701207,288.9458417,288.043635,140.8299798,0.0001,0.0001
6,"5,7,18,19",6,0.414612367,0.414612367,1,0,0,0,,,0,0,4.181895945,1,1,3,7,147.8068408,297.2266928,2,0.234735098,154.4443327,304.9297451,300.3921463,156.6355601,61.68,61.68
7,"6,8,19,20",7,0.353769213,0.353769213,1,0,0,0,,,0,0,7.524338413,1,1,3,7,163.3861504,306.2946016,2,0.29056854,170.0110664,312.010228,302.6888531,175.0744265,136.36,136.36
8,"7,9,20,21",8,0.418407394,0.418407394,1,0,0,0,,,0,0,8.310987112,1,1,3,7,172.0617036,296.7902417,2,0.272074998,179.462609,299.0858484,304.5214353,186.1162174,161.432,161.432
9,"8,21,22",9,0.643487463,0.643487463,1,0,0,0,,,0,0,6.553311902,1,1,3,7,208.2109197,298.5009578,2,0.302823295,212.5214559,298.4549808,319.4379493,215.9504138,0.0001,0.0001
10,"11,23",10,0.889858623,0.889858623,1,0,0,0,,,0,0,0.986466152,1,1,3,7,81.24916827,222.4876912,2,0.506040023,87.74683965,245.339654,238.4649036,101.5571591,557.064,557.064
11,"10,12,23,24",11,1.963435108,1.963435108,1,0,0,0,,,0,0,6.754022606,1,1,3,7,68.65585502,216.0101463,2,0.208215032,75.00316035,238.4609115,234.3297007,87.50194951,662.528,662.528
12,"11,13,24,25",12,2.416531069,2.416531069,1,0,0,0,,,0,0,6.008105354,1,1,3,7,65.826181,218.1275782,2,0.215519564,74.4505988,235.7762808,222.3448235,73.898676,595.304,595.304
13,"1,12,14,25,26",13,1.462203396,1.462203396,1,0,0,0,,,0,0,3.325285848,1,1,3,7,94.00914818,252.3489685,2,0.256703648,103.7175649,266.3142049,251.4602662,103.5420825,684.304,684.304
14,"1,2,13,15,26,27",14,0.655254367,0.655254367,1,0,0,0,,,0,0,3.486960508,1,1,3,7,102.6729875,265.0853292,2,0.286525485,111.421823,276.8945442,264.7316568,113.6199334,571.64,571.64
15,"2,3,14,16,27,28",15,0.732641553,0.732641553,1,0,0,0,,,0,0,5.511813725,1,1,3,7,103.4908517,264.8381573,2,0.2123693,110.8208583,275.0818363,267.8442781,123.3115502,137.864,137.864
16,"3,4,15,17,28,29",16,0.822220186,0.822220186,1,0,0,0,,,0,0,3.674861396,1,1,3,7,120.399867,276.6716571,2,0.235980956,126.4514305,285.2671324,289.2915969,142.2137259,13.112,13.112
17,"4,5,16,18,29,30",17,0.297718734,0.297718734,1,0,0,0,,,0,0,5.482124901,1,1,3,7,113.3323354,273.7420158,2,0.242950128,118.7902528,280.7082502,283.6501263,128.4889954,0.0001,0.0001
18,"5,6,17,19,30,31",18,0.221824098,0.221824098,1,0,0,0,,,0,0,6.822255663,1,1,3,7,87.03692618,250.22505,2,0.201400363,92.90302728,257.078177,256.4443047,99.23233532,15.976,15.976
